Cluster, Core, Core_max, Core_median, Acc, Acc_max, Acc_median
201,0.0005281475383029366,0.00108646751857,0.00046607100560985826,0.04913897467667404,0.0865069524097,0.04661889338512193
200,0.00025943286424788824,0.000430332769365,0.00028489543896914604,0.015552387348383457,0.0317832493708,0.011199783067697922
203,0.0008164612882331946,0.0013056219228,0.0009077174513598685,0.06091438358803528,0.0832577620244,0.0711911195135922
202,0.0009102679896514698,0.0018539931625,0.0008736933238306932,0.10004089669936955,0.13127420952,0.11778745519591277
205,0.0009489782605198616,0.00135384292673,0.001123895034734479,0.049001608141806395,0.0764532404786,0.054685421868174766
204,0.0005990293258728463,0.00146174136381,0.000534782343696083,0.0785126128867186,0.131785480227,0.09012313851384157
207,0.0006689024290758682,0.00125378433005,0.00048730945146591154,0.04718664576713201,0.109138860876,0.014024062359956568
206,0.0006124486272326868,0.00125916642272,0.0004925844988784012,0.03411060811542351,0.0493135361681,0.0390668968284924
209,0.00031033204905291936,0.000804615026604,1.8819171476558427e-05,0.019587057838633404,0.0475823477507,0.0019359102291446884
208,2.7294501662689098e-05,0.000147261262952,6.84214187418597e-07,0.021132215909890627,0.0378484953334,0.021626473500080012
77,0.0016379798708650664,0.00276539278174,0.001687065153268219,0.1267964705849425,0.188647167965,0.13248755872179452
76,0.0013241994915179412,0.00263321449377,0.0013719031471263743,0.10315063129699202,0.202210666135,0.10348370138230101
75,0.001087460377180487,0.00254995750561,0.0012052948368119765,0.08677253466325394,0.151118622194,0.09152988687149294
74,0.0011055161232470653,0.00268233083398,0.0010050680945848378,0.08958039498164722,0.163420242945,0.10303103963331173
73,0.0008858493979677695,0.00187969449261,0.0007870633276690353,0.08984797587817821,0.16147857729,0.09129815058611579
72,0.00014063973102449869,0.0011846131261,4.81909373573064e-07,0.012594358279938172,0.0597990538867,0.011140449181793632
71,0.0006854837673363169,0.0017083994616,0.0007443129422003425,0.06944379410572882,0.12571800667,0.07918182673622948
70,0.0008919202550197384,0.00190178003639,0.0009512136685054795,0.12426495506097981,0.204772162099,0.1261238206813189
79,0.0009980517906988146,0.00251487362224,0.000988000054385374,0.11893244444811488,0.17989552773,0.12542351969521293
78,0.0010712683269089257,0.00195747709089,0.001045098610666706,0.08992806043311888,0.146145535051,0.0985258969312276
8,0.0011011713775436944,0.0030511940517,0.0011035033581562326,0.10038002037685806,0.254573642997,0.09014093477969587
120,0.0012735615441950645,0.00243095289517,0.001241565554350288,0.10765056538341669,0.173557382358,0.11345696597504529
121,0.0003012323890192895,0.000620132390122,0.00030799336687703516,0.014197857145675048,0.0214461617357,0.015583597150705675
122,0.00036963194733358185,0.000585396632952,0.000386373635943571,0.0487831885876866,0.102243013866,0.041378056363047144
123,0.0004945511975066637,0.0010631770278,0.0004950652052467808,0.04549778608566064,0.0896146797891,0.03992746276968667
124,0.001034144351088197,0.00154894003995,0.0012526513843795217,0.09199235684200562,0.147586798851,0.11958205623469981
125,0.0015352806649748133,0.00250221236184,0.001422269331748216,0.08915020620464549,0.130996574563,0.08980656502613132
126,0.00030551807790058346,0.000671382805023,0.00028737877460999206,0.03695647774470016,0.0679923898086,0.036943342222894526
127,0.0012603970446823137,0.00216110994605,0.0017676698343004338,0.032073630966996426,0.0627389048692,0.03495722659484107
128,7.56104674742099e-05,0.000391958247914,1.5870106163717868e-05,0.03937576321877677,0.0933695170773,0.03817974828884224
129,0.0013365263672509248,0.00212349221275,0.0014404749348813084,0.12007257162551162,0.158810913059,0.12914276370058342
414,0.0005594995014942539,0.000559499501494,0.0005594995014942539,0.046136959289234,0.0461369592892,0.046136959289234
415,0.00019519343768581443,0.000195193437686,0.00019519343768581443,0.004366822039631679,0.00436682203963,0.004366822039631679
416,0.00012411021700664548,0.000124110217007,0.00012411021700664548,0.0009285463003669836,0.000928546300367,0.0009285463003669836
417,0.0008943412918362981,0.000894341291836,0.0008943412918362981,0.11026625904885301,0.110266259049,0.11026625904885301
410,0.0005311161013451526,0.000531116101345,0.0005311161013451526,0.09892798560617821,0.0989279856062,0.09892798560617821
411,0.00018132241847490516,0.000181322418475,0.00018132241847490516,0.002729757175130798,0.00272975717513,0.002729757175130798
412,0.001518465626475174,0.00151846562648,0.001518465626475174,0.09987114146983245,0.0998711414698,0.09987114146983245
413,0.00044726918463644516,0.000447269184636,0.00044726918463644516,0.00600665446486115,0.00600665446486,0.00600665446486115
498,0.00014834356949200433,0.000148343569492,0.00014834356949200433,0.006368964321213366,0.00636896432121,0.006368964321213366
418,2.7582739726361716e-05,2.75827397264e-05,2.7582739726361716e-05,1.638689184346731e-13,1.63868918435e-13,1.638689184346731e-13
419,0.0011507783841341324,0.00115077838413,0.0011507783841341324,0.09340130018905735,0.0934013001891,0.09340130018905735
499,4.950633436529017e-07,4.95063343653e-07,4.950633436529017e-07,0.013868627162277325,0.0138686271623,0.013868627162277325
319,0.001307797550465617,0.00130779755047,0.001307797550465617,0.0913189831930018,0.091318983193,0.0913189831930018
318,1.959927383721194e-07,1.95992738372e-07,1.959927383721194e-07,0.017835515591705264,0.0178355155917,0.017835515591705264
313,0.0005538085465916313,0.000760751313262,0.0005928771824760259,0.032758250765026996,0.0472200030131,0.043801225749578565
312,0.00039991798480783675,0.000526821651182,0.0003456707271003445,0.011710864207835589,0.0133634741894,0.013079360526041084
311,0.0004107110384207561,0.000751025508909,0.0004811076062978259,0.08608272500167402,0.12890337564,0.10880407676197401
310,0.00018583900679932283,0.0004524031279,5.855462156967306e-05,0.09731565346676363,0.125894377936,0.1052607549514687
317,0.00034918322545884894,0.000349183225459,0.00034918322545884894,0.00909028120820754,0.00909028120821,0.00909028120820754
316,0.0010919541488130975,0.00149728113818,0.0013750824050456911,0.07244233511509623,0.108204832458,0.10199067029825437
315,0.0009809573503026803,0.00138834442387,0.0010768285490629914,0.1038122500404749,0.154412165499,0.0967770194551667
314,0.0004698035313100979,0.000643984031956,0.0006208676057087859,0.01886871457900167,0.0289469427331,0.0261974953555959
496,0.00012423071059963764,0.0001242307106,0.00012423071059963764,0.003533802777140216,0.00353380277714,0.003533802777140216
497,8.949196528273973e-08,8.94919652827e-08,8.949196528273973e-08,0.008338390877053459,0.00833839087705,0.008338390877053459
3,0.0013250067979264206,0.00385758911358,0.0013114130745522923,0.10432269713672328,0.275093761551,0.10423272355591373
