cluster1, cluster2, core, core_max, core_median, accessory, accessory_max, accessory_median
24,29,0.028136880818777382,0.0296336418889,0.02820325286439984,0.3840431514937417,0.483011392164,0.3801383477454007
24,30,0.017174095001279793,0.0186753300293,0.01722903663069897,0.3116332979931823,0.390989156612,0.3098170611529683
24,31,0.025863841740135868,0.0277682458353,0.025933006306036788,0.34763690005608355,0.457514938401,0.34321035583280834
24,32,0.008260202795670657,0.00938436453293,0.008291016916242788,0.2157322239618235,0.331731235974,0.21081631437407555
24,33,0.02588199295145825,0.0274584137517,0.025974488518894945,0.36118166556612186,0.471785728128,0.3563134003171694
24,34,0.008869456577512699,0.0101453764933,0.008954404540937766,0.23539012395532555,0.361012552702,0.22808120169895035
24,35,0.012933252168460403,0.013979679134,0.012980703231099677,0.27640363817566,0.393716735679,0.27247887458916487
24,36,0.009066185395914304,0.0100294229956,0.00921478078526522,0.2660671868349793,0.372664344717,0.2605773029022194
24,37,0.02520305627113557,0.0268710013053,0.025350370552520707,0.3173647834772695,0.411449502545,0.31388028105597066
24,38,0.02588458673128582,0.0273479784501,0.025961034812519546,0.35147498395003113,0.466570271409,0.34553664663095995
25,26,0.02804957089720361,0.0304771018092,0.02796734003068263,0.40693699999091104,0.456661850493,0.4060066885346846
25,27,0.010575666476815753,0.0117466903313,0.010549283224424277,0.29320378715290146,0.35365274919,0.2956109601967648
25,28,0.027001226251782622,0.0291457569802,0.026985761236852257,0.4395300716585615,0.489510417916,0.4382083292883576
25,29,0.009597140460717543,0.0107531633427,0.009625298030084661,0.24455869613644424,0.321218704738,0.2441970370347365
25,30,0.02789027321233082,0.0292756297892,0.027884526209301486,0.4347357675159492,0.48125990698,0.43412156528481505
25,31,0.02182115438731018,0.0232256812904,0.021848729544912182,0.38759763448439194,0.46816695645,0.3851256921115099
25,32,0.02853562590264382,0.0300082887419,0.028562696920026387,0.40362764203151763,0.464196225033,0.40285008252869464
25,33,0.021068013266450157,0.0223578273007,0.02110081804273617,0.40338459338791843,0.461400830659,0.40166534398177
25,34,0.02734413960080707,0.0285465362874,0.027364773545860366,0.41820180552304465,0.492638919296,0.41516153254621396
25,35,0.026592360940131385,0.0280235186271,0.02659862167588639,0.4214796614682293,0.479384620431,0.4208638416548937
25,36,0.028093678585954858,0.0296689419179,0.028110898956650088,0.4187023079366152,0.455192575175,0.4185001543926304
25,37,0.025866211579662846,0.0278814146785,0.025894578297026905,0.40723208157970975,0.460393770717,0.40618967397462946
25,38,0.021073867536043317,0.0227182723152,0.021075968742922724,0.4043948919048486,0.457792211898,0.40321144694699773
26,27,0.027782471931358067,0.0294110737074,0.02780934663549406,0.3761079495816047,0.412517626821,0.3753503916244373
26,28,0.016170898515236738,0.0177125186745,0.016162210661096355,0.29376440888766814,0.35791136522,0.29162753933340213
26,29,0.028480979455985666,0.0306663392609,0.02848202232891489,0.38786071022716967,0.437427329514,0.3870192223717324
26,30,0.016729665200846726,0.017776487118,0.016717977256730798,0.31285438732818316,0.359342124745,0.31214824175401645
26,31,0.02500245529437917,0.0266143834351,0.025003932417985375,0.3676952632040655,0.430276509816,0.3672279892808963
26,32,0.0078060048617886665,0.00888356046897,0.00782403361659334,0.2576160756585569,0.339693285956,0.25681570036985657
26,33,0.024530768245798765,0.0262819224049,0.02454157010316238,0.3880086611106689,0.426914359251,0.3882191400091498
26,34,0.008243334624664074,0.00972895086551,0.008195471863323978,0.21911177713428914,0.318873211713,0.21746145045065501
26,35,0.015293680271608014,0.0165236573027,0.01524212106320133,0.29428833513399977,0.351977333284,0.29473254756985484
26,36,0.007990123082387768,0.00914699263694,0.008009560657162629,0.2727420952994148,0.32064380784,0.27174097364045546
26,37,0.02512608348617148,0.0268400041555,0.02513467015816878,0.329529083215631,0.37789422081,0.3302188909851561
26,38,0.02547835801388135,0.027131059776,0.025480620388316333,0.37190428628270794,0.424512762604,0.37052236715700393
27,28,0.02774200365689264,0.029461191225,0.027708768488325486,0.4285330930988885,0.46633785102,0.4273346562479333
27,29,0.011094410447494525,0.0122676688308,0.01107921040372456,0.29992689874223954,0.348853919495,0.3005773624294141
27,30,0.02751323793146749,0.029177787995,0.027483422763284304,0.4246773045550114,0.462983549052,0.42515201774305356
27,31,0.02257775774887756,0.0240218140618,0.022549039873184795,0.39181951079645777,0.450523818914,0.3915594782571138
27,32,0.028704769425755366,0.0300298191854,0.02871277741395406,0.39833138702120846,0.441090239354,0.39811923210910083
27,33,0.020491179090261435,0.0215026457826,0.02053298734221254,0.42215218865000204,0.46057035387,0.42289821790342796
27,34,0.02749696456113502,0.02890749528,0.02753411507673892,0.39174319326217455,0.458489409082,0.3904495145324164
27,35,0.026744619464864262,0.0275130296685,0.026764291198735357,0.4226866936768073,0.461139603006,0.42299199340978816
27,36,0.028437967909113012,0.0299451554586,0.028412519883281084,0.41120339117344634,0.441632162224,0.4110162484105104
27,37,0.026823499594389504,0.0280988225895,0.0268266685997266,0.3952904993862056,0.436026716497,0.39531311348534837
27,38,0.020982644263020343,0.0221675021099,0.020977838355131395,0.416999544165177,0.459366379692,0.41629224575887364
28,29,0.028130178764367672,0.0298844852001,0.0281444007070647,0.40630561452994873,0.45272560465,0.4052215368281353
28,30,0.016791967202601787,0.0181448091379,0.016784415251714258,0.3702436993426471,0.414597215101,0.3697493823360646
28,31,0.025562538099552598,0.0271900235515,0.025596738764773974,0.3771859966767802,0.455034583885,0.3744852805307435
28,32,0.015482491158314567,0.0166930186601,0.015493645930580224,0.30840518729223976,0.377774087763,0.3056906098445068
28,33,0.023985932663479623,0.025230168367,0.023988666631654,0.41493179367096683,0.464139026527,0.41338220994077857
28,34,0.014417530614333655,0.0155049049063,0.014427291017732657,0.32253289640322513,0.408967087004,0.31895519457649363
28,35,0.0028896267456406453,0.00396226475333,0.0028812290590992107,0.2635238551089164,0.327832902353,0.2666745048868197
28,36,0.01421767678566332,0.0161806856189,0.014211925076167475,0.2283591386747611,0.290804444643,0.22696351478541327
28,37,0.025098350606176805,0.0265437203789,0.025105655213060907,0.3466968719492352,0.403329710821,0.34604133054429115
28,38,0.024791199141367425,0.0261832100378,0.02481537398449707,0.40279501486321695,0.470500449955,0.3997906284536593
29,30,0.027380818796067373,0.0293774343455,0.02738266209976037,0.4340786613530355,0.478573009416,0.43386409376099183
