Cluster, Core, Core_max, Core_median, Acc, Acc_max, Acc_median
24,0.0007424292107342292,0.00287090056662,0.0007106326644205074,0.09095074208573406,0.244996323557,0.08114665146119993
25,0.0011280063613334833,0.00271952135117,0.0011978956507502359,0.1230445962676226,0.24979466803,0.12358362289121416
26,0.0013387735818892275,0.00299506456604,0.0013337392739428688,0.11917249605303444,0.224583721901,0.1212492545215943
27,0.001179473607133165,0.00295373169205,0.0014278750937911089,0.07536004506537977,0.168434352585,0.07962826096705206
20,0.0007097921337973328,0.00242308534811,0.000643733962398918,0.07501634233746973,0.160330659229,0.07340515919241897
21,0.00028216240418680314,0.000786639102279,0.00023215922091202046,0.023828651990852486,0.0704776521279,0.018722215730768155
22,0.0012592820550780335,0.0032931939643,0.0012775422138152637,0.09562597748038254,0.191559013207,0.09690872400295314
23,0.0002358679453826824,0.00213878441792,9.088980797700152e-05,0.10385169990977938,0.207300728864,0.10991872896526772
28,0.000767920601392494,0.00256416059308,0.0006866659195139402,0.06520061779368566,0.189489273389,0.056687416815041525
29,0.0013898414622124553,0.00261018992249,0.0014987652636153648,0.10484044268513269,0.209885012895,0.1077965731460736
1,0.0008359281996454964,0.00412176532752,0.0008347197721816357,0.06151941747869487,0.265596431753,0.05776695685665889
3,0.0013250067979264206,0.00385758911358,0.0013114130745522923,0.10432269713672328,0.275093761551,0.10423272355591373
2,0.0008837774445701214,0.00458964741527,0.0005655941961220101,0.08059721048199121,0.286441474997,0.07653102280795387
5,0.0013945267812089704,0.0032043458977,0.0014427573052332998,0.10143762141719548,0.234176652977,0.10307448103521977
4,0.0016109291699265285,0.00399377375535,0.0017103822112967126,0.12767377159214183,0.250871922805,0.1332915391706121
7,0.0013494911457292676,0.00399733070586,0.0013228309558751539,0.11625863414458383,0.280614478908,0.11505753566457766
6,0.0012783485783533796,0.00321282793558,0.0012993830944149076,0.07289456290721953,0.192054719067,0.06903895333428933
9,0.001000366248091164,0.00300393516885,0.0009733889719544253,0.09372767931350497,0.244858974897,0.09370089646135771
8,0.0011011713775436944,0.0030511940517,0.0011035033581562326,0.10038002037685806,0.254573642997,0.09014093477969587
39,0.0006526678446292677,0.00271023522123,0.00035505457936413354,0.04490688610952295,0.149328193341,0.0312762679597689
12,0.002330568636746363,0.00477918752962,0.00243468299624372,0.16213448699149946,0.267951234025,0.16653329635719583
11,0.0008207154025075114,0.00284736865214,0.000776287130207054,0.09268922439686174,0.247077382185,0.08550728299479976
10,0.0008777041962231737,0.0030827412845,0.0007763903413696704,0.07782398255288198,0.207097990942,0.07446185393077298
13,0.0012890938817615653,0.0033080725563,0.0012821467222813854,0.1165464010561208,0.225270184058,0.11877150062952285
38,0.0005050328437690852,0.0028413092964,0.000406111237542639,0.06485077013817325,0.19345002198,0.05495193335892956
15,0.0011820471646703603,0.00277816761161,0.001234043038238708,0.10464449080732557,0.225535465201,0.10719571557063878
14,0.0005645345303479669,0.00258497864046,0.0004979580483034374,0.07542203765920143,0.188828143195,0.0734686725835253
17,0.0017064504091216447,0.00416536588589,0.0017962500730228648,0.1087003510130644,0.230439531656,0.11673705325179762
16,0.0006476104139555339,0.00240158593051,0.00045708852147180457,0.05555016919348779,0.186870328292,0.040108307326386206
33,0.0007449100883991275,0.0020153368592,0.000706827669510024,0.08436130513337992,0.163618409874,0.08446564356353953
18,0.0006236120313561384,0.00161567109963,0.0006099562504524592,0.06007210379226184,0.1689615198,0.059738185193695226
31,0.0008988307725834261,0.00233279581048,0.0009119603843237845,0.07883253304419408,0.20191277145,0.07695837800062783
30,0.001109745603758688,0.00273981230914,0.0011660813073495202,0.06352083165759972,0.163878983988,0.06090218498868227
37,0.0009110635762171763,0.00235424538659,0.0009138179328936347,0.10636839489617371,0.183192269712,0.11452575642442453
36,0.0009787475545719195,0.00182169509351,0.0010039679073075014,0.060386789715341234,0.128824920657,0.0596566083274957
35,0.0005984133961765423,0.00159690953138,0.0005557947812175335,0.09150666278325467,0.197910564083,0.10156674668200755
34,0.0015009086379773188,0.00304006630076,0.0015688164497609791,0.11813215276060603,0.230542527646,0.11857981574346116
19,0.0007066125848577932,0.00285600695629,0.0004172460842488124,0.09080374745131355,0.226251372901,0.08155761106490983
32,0.001357794612201877,0.00259436512275,0.001560874162690018,0.10457740373730799,0.214030866224,0.11206591095469909
