cluster, variable, length, count
12,inter,not_small,867
12,rare,small,2336
12,rare,not_small,5822
28,core,small,191
28,core,not_small,1918
28,soft_core,small,141
28,soft_core,not_small,1355
28,inter,small,353
28,inter,not_small,1121
28,rare,small,1475
28,rare,not_small,1684
29,core,small,237
29,core,not_small,2788
29,soft_core,small,76
29,soft_core,not_small,824
29,inter,small,326
29,inter,not_small,927
29,rare,small,1207
29,rare,not_small,2051
4,core,small,261
4,core,not_small,3056
4,soft_core,small,58
4,soft_core,not_small,545
4,inter,small,290
4,inter,not_small,954
4,rare,small,3720
4,rare,not_small,6254
33,core,small,289
33,core,not_small,3181
33,soft_core,small,59
33,soft_core,not_small,404
33,inter,small,317
33,inter,not_small,982
33,rare,small,646
33,rare,not_small,1248
18,core,small,183
18,core,not_small,1930
18,soft_core,small,248
18,soft_core,not_small,1749
18,inter,small,214
18,inter,not_small,620
18,rare,small,1062
18,rare,not_small,1531
20,core,small,178
20,core,not_small,2151
20,soft_core,small,134
20,soft_core,not_small,1431
20,inter,small,170
20,inter,not_small,632
20,rare,small,1518
20,rare,not_small,2704
